Round,Slot,Team,Player
8,6,Julio,Austin Ekeler WAS (RB)
8,7,ATL,Brian Thomas Jr. JAC (WR)
8,8,Kenny,Courtland Sutton DEN (WR)
8,9,Greg,Devin Singletary NYG (RB)
8,10,Elaf,Trey Benson ARI (RB)
8,11,Marco,Justin Herbert LAC (QB)
8,12,Ivo,Jakobi Meyers LVR (WR)
9,1,Gaybo,Tua Tagovailoa MIA (QB)
9,2,Zeus,Diontae Johnson CAR (WR)
9,3,Doy,Jayden Reed GBP (WR)
9,4,Monaf,Jameson Williams DET (WR)
9,5,Jay,Brock Purdy SFO (QB)
9,6,Julio,Matthew Stafford LAR (QB)
9,7,ATL,J.K. Dobbins LAC (RB)
9,8,Kenny,Chris Godwin TBB (WR)
9,9,Greg,Jayden Daniels WAS (QB)
9,10,Elaf,Keon Coleman BUF (WR)
9,11,Marco,Dallas Cowboys DAL (DEF)
9,12,Ivo,Christian Kirk JAC (WR)
10,1,Gaybo,Khalil Shakir BUF (WR)
10,2,Zeus,Rome Odunze CHI (WR)
10,3,Doy,Pittsburgh Steelers PIT (DEF)
10,4,Monaf,Jaxon Smith-Njigba SEA (WR)
10,5,Jay,Jordan Mason SFO (RB)
10,6,Julio,Baltimore Ravens BAL (DEF)
10,7,ATL,Romeo Doubs GBP (WR)
10,8,Kenny,San Francisco 49ers SFO (DEF)
10,9,Greg,Hollywood Brown KCC (WR)
10,10,Elaf,Tyrone Tracy Jr. NYG (RB)
10,11,Marco,Caleb Williams CHI (QB)
10,12,Ivo,New York Jets NYJ (DEF)
11,1,Gaybo,Justin Tucker BAL (K)
11,2,Zeus,Philadelphia Eagles PHI (DEF)
11,3,Doy,Tyler Allgeier ATL (RB)
11,4,Monaf,Joshua Palmer LAC (WR)
11,5,Jay,Detroit Lions DET (DEF)
11,6,Julio,MarShawn Lloyd GBP (RB)
11,7,ATL,Kansas City Chiefs KCC (DEF)
11,8,Kenny,Jared Goff DET (QB)
11,9,Greg,Keenan Allen CHI (WR)
11,10,Elaf,Deshaun Watson CLE (QB)
11,11,Marco,Brandon Aubrey DAL (K)
11,12,Ivo,Dylan Laube LVR (RB)
12,1,Gaybo,Jaleel McLaughlin DEN (RB)
12,2,Zeus,Ty Chandler MIN (RB)
12,3,Doy,Geno Smith SEA (QB)
12,4,Monaf,Adonai Mitchell IND (WR)
12,5,Jay,Trey McBride ARI (TE)
12,6,Julio,Baker Mayfield TBB (QB)
12,7,ATL,Aaron Rodgers NYJ (QB)
12,8,Kenny,Khalil Herbert CHI (RB)
12,9,Greg,Ezekiel Elliott DAL (RB)
12,10,Elaf,Ladd McConkey LAC (WR)
12,11,Marco,Justice Hill BAL (RB)
12,12,Ivo,Brock Bowers LVR (TE)
13,1,Gaybo,Buffalo Bills BUF (DEF)
13,2,Zeus,Indianapolis Colts IND (DEF)
13,3,Doy,Antonio Gibson NEP (RB)
13,4,Monaf,Rico Dowdle DAL (RB)
13,5,Jay,Jake Elliott PHI (K)
13,6,Julio,DeAndre Hopkins TEN (WR)
13,7,ATL,Houston Texans HOU (DEF)
13,8,Kenny,Kenneth Gainwell PHI (RB)
13,9,Greg,Dalton Kincaid BUF (TE)
13,10,Elaf,Bucky Irving TBB (RB)
13,11,Marco,Miles Sanders CAR (RB)
13,12,Ivo,Russell Wilson PIT (QB)
14,1,Gaybo,Dameon Pierce HOU (RB)
14,2,Zeus,Josh Downs IND (WR)
14,3,Doy,Jordan Addison MIN (WR)
14,4,Monaf,Ray Davis BUF (RB)
14,5,Jay,Ja'Lynn Polk NEP (WR)
14,6,Julio,Tank Bigsby JAC (RB)
14,7,ATL,Kimani Vidal LAC (RB)
14,8,Kenny,Cameron Dicker LAC (K)
14,9,Greg,Jaylen Wright MIA (RB)
14,10,Elaf,Kyle Pitts ATL (TE)
14,11,Marco,Harrison Butker KCC (K)
14,12,Ivo,Jake Moody SFO (K)
15,1,Gaybo,Tyler Lockett SEA (WR)
15,2,Zeus,Jason Sanders MIA (K)
15,3,Doy,Tyler Bass BUF (K)
15,4,Monaf,Braelon Allen NYJ (RB)
15,5,Jay,Xavier Legette CAR (WR)
15,6,Julio,Evan McPherson CIN (K)
15,7,ATL,Mike Williams NYJ (WR)
15,8,Kenny,Rashid Shaheed NOS (WR)
15,9,Greg,Jake Bates DET (K)
15,10,Elaf,Dontayvion Wicks GBP (WR)
15,11,Marco,D'Onta Foreman CLE (RB)
15,12,Ivo,Clyde Edwards-Helaire KCC (RB)
16,1,Gaybo,Gardner Minshew II LVR (QB)
16,2,Zeus,Sam Darnold MIN (QB)
16,3,Doy,Derek Carr NOS (QB)
16,4,Monaf,Justin Fields PIT (QB)
16,5,Jay,Kendre Miller NOS (RB)
16,6,Julio,Jahan Dotson WAS (WR)
16,7,ATL,Mark Andrews BAL (TE)
16,8,Kenny,Will Levis TEN (QB)
16,9,Greg,New Orleans Saints NOS (DEF)
16,10,Elaf,Bryce Young CAR (QB)
16,11,Marco,Jerry Jeudy CLE (WR)
16,12,Ivo,Michael Penix Jr. ATL (QB)
17,1,Gaybo,Miami Dolphins MIA (DEF)
17,2,Zeus,Younghoe Koo ATL (K)
17,3,Doy,Trey Sermon IND (RB)
17,4,Monaf,Chicago Bears CHI (DEF)
17,5,Jay,Green Bay Packers GBP (DEF)
17,6,Julio,Daniel Carlson LVR (K)
17,7,ATL,Bo Nix DEN (QB)
17,8,Kenny,Alexander Mattison LVR (RB)
17,9,Greg,Seattle Seahawks SEA (DEF)
17,10,Elaf,Jacksonville Jaguars JAC (DEF)
17,11,Marco,Daniel Jones NYG (QB)
17,12,Ivo,Brandin Cooks DAL (WR)
18,1,Gaybo,Matt Prater ARI (K)
18,2,Zeus,Dalvin Cook (RB)
18,3,Doy,Denver Broncos DEN (DEF)
18,4,Monaf,Las Vegas Raiders LVR (DEF)
18,5,Jay,Atlanta Falcons ATL (DEF)
18,6,Julio,Gabe Davis JAC (WR)
18,7,ATL,Matt Gay IND (K)
18,8,Kenny,New England Patriots NEP (DEF)
18,9,Greg,Tampa Bay Buccaneers TBB (DEF)
18,10,Elaf,Audric Estime DEN (RB)
18,11,Marco,Odell Beckham Jr. MIA (WR)
18,12,Ivo,Cincinnati Bengals CIN (DEF)
19,1,Gaybo,Jamaal Williams NOS (RB)
19,2,Zeus,Demario Douglas NEP (WR)
19,3,Doy,Adam Thielen CAR (WR)
19,4,Monaf,Joe Flacco IND (QB)
19,5,Jay,Jameis Winston CLE (QB)
19,6,Julio,Greg Dortch ARI (WR)
19,7,ATL,Jason Myers SEA (K)
19,8,Kenny,Curtis Samuel BUF (WR)
19,9,Greg,Greg Zuerlein NYJ (K)
19,10,Elaf,Ka'imi Fairbairn HOU (K)
19,11,Marco,David Njoku CLE (TE)
19,12,Ivo,Tre Tucker LVR (WR)
20,1,Gaybo,Michael Wilson ARI (WR)
20,2,Zeus,Jermaine Burton CIN (WR)
20,3,Doy,Samaje Perine DEN (RB)
20,4,Monaf,Will Reichard MIN (K)
20,5,Jay,Chase McLaughlin TBB (K)
20,6,Julio,Darnell Mooney ATL (WR)
20,7,ATL,Quentin Johnston LAC (WR)
20,8,Kenny,Dallas Goedert PHI (TE)
20,9,Greg,Drake Maye NEP (QB)
20,10,Elaf,Jalen McMillan TBB (WR)
20,11,Marco,Cam Akers (RB)
20,12,Ivo,DJ Chark Jr. LAC (WR)
